@relation observations_40.arff

@attribute THROWS numeric
@attribute DEREFERNCES numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute GOTO numeric
@attribute LOCALS numeric
@attribute EQUAL numeric
@attribute IF numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute ASSIGNMENTS numeric
@attribute class {hot,cold}

@data
0,3,0,12,2,3,13,3,3,1,2,6,hot
0,8,4,49,26,4,75,4,4,1,7,35,cold
0,4,0,12,0,4,13,4,4,1,3,6,hot
0,3,0,10,0,3,11,3,3,1,2,5,hot
0,7,4,47,26,3,74,3,3,0,6,34,cold
0,3,0,10,0,3,12,3,3,0,2,5,hot
0,2,0,8,0,2,10,2,2,0,1,4,hot
0,8,4,52,28,4,79,4,4,1,7,37,cold
0,4,0,15,2,4,17,4,4,1,3,8,hot
0,3,0,13,2,3,15,3,3,1,2,7,hot
0,8,4,50,26,4,77,4,4,1,7,36,cold
0,4,0,13,0,4,15,4,4,1,3,7,hot
0,3,0,11,0,3,13,3,3,1,2,6,hot
0,7,4,48,26,3,76,3,3,0,6,35,cold
0,3,0,11,0,3,14,3,3,0,2,6,hot
0,2,0,9,0,2,12,2,2,0,1,5,hot
0,1,0,6,4,0,5,0,0,0,0,0,hot
0,2,0,18,6,5,18,1,3,0,1,7,hot
0,2,0,17,6,4,18,1,3,0,1,7,hot
0,2,0,13,5,3,12,1,2,0,1,5,hot
0,2,0,12,5,2,12,1,2,0,1,5,hot
0,1,0,3,1,0,1,0,0,0,0,0,hot
0,4,0,8,2,0,6,0,0,4,4,7,hot
0,5,3,18,4,3,23,0,2,2,3,10,hot
0,3,2,11,3,1,13,0,1,2,2,6,hot
0,0,1,3,1,0,3,0,0,0,0,1,hot
0,2,0,4,0,1,4,0,1,0,0,0,hot
0,2,0,8,2,3,11,2,3,0,0,2,hot
0,4,0,12,2,4,19,3,4,0,2,5,hot
0,6,0,16,3,5,27,3,5,0,4,8,hot
0,6,0,16,3,5,27,3,5,0,4,8,hot
0,2,0,5,0,2,5,1,2,0,0,0,hot
0,2,0,3,0,0,4,0,0,0,1,1,hot
0,1,0,3,1,0,2,0,0,0,0,0,hot
0,2,0,3,0,0,4,0,0,0,1,1,hot
0,3,0,4,0,0,4,0,0,1,1,1,hot
0,2,0,3,0,0,4,0,0,0,1,1,hot
0,3,0,4,0,0,4,0,0,1,1,1,hot
0,2,0,3,0,0,4,0,0,0,1,1,hot
0,3,0,4,0,0,4,0,0,1,1,1,hot
0,2,0,3,0,0,4,0,0,0,1,1,hot
0,3,0,4,0,0,4,0,0,1,1,1,hot
0,2,0,3,0,0,4,0,0,0,1,1,hot
0,3,0,4,0,0,4,0,0,1,1,1,hot
0,3,0,5,0,0,9,0,0,0,2,3,hot
0,7,0,25,9,4,46,2,2,0,4,10,hot
0,7,0,24,9,3,45,2,2,0,4,10,hot
0,7,0,17,6,1,33,1,1,0,4,7,hot
0,1,0,6,1,2,6,0,1,0,0,2,hot
0,1,0,5,1,1,6,0,1,0,0,2,hot
0,4,2,23,11,4,36,3,3,0,2,13,hot
0,4,1,12,3,2,17,2,2,0,2,6,hot
0,3,1,8,1,1,10,1,1,0,1,3,hot
0,1,0,3,1,0,2,0,0,0,0,0,hot
0,3,0,7,1,2,6,0,1,1,3,4,hot
0,2,0,4,0,1,4,0,1,0,2,2,hot
0,4,1,12,5,0,17,0,0,1,3,8,hot
0,1,0,3,1,0,2,0,0,0,0,0,hot
0,2,0,4,1,0,4,0,0,0,0,0,hot
0,3,5,45,21,6,67,4,4,0,0,29,cold
0,3,7,62,29,10,97,5,7,0,0,37,cold
0,3,7,57,27,8,88,5,6,0,0,35,cold
0,3,7,61,28,10,95,5,7,0,0,37,cold
0,3,7,56,26,8,86,5,6,0,0,35,cold
0,3,3,28,11,3,39,2,2,0,0,18,hot
0,3,4,40,17,6,58,4,4,0,0,25,cold
0,3,6,57,25,10,88,5,7,0,0,33,cold
0,3,6,52,23,8,79,5,6,0,0,31,cold
0,3,6,56,24,10,86,5,7,0,0,33,cold
0,3,6,51,22,8,77,5,6,0,0,31,cold
0,3,2,23,7,3,30,2,2,0,0,14,hot
0,2,0,6,2,0,7,0,0,0,1,2,hot
0,2,2,8,3,0,12,0,0,0,0,3,hot
0,5,3,35,18,5,57,2,4,0,3,23,cold
0,4,2,27,12,5,43,2,4,0,2,17,cold
0,4,2,25,11,4,40,2,3,0,2,16,hot
0,4,2,23,10,3,37,2,2,0,2,15,hot
0,5,3,34,18,4,56,2,4,0,3,23,cold
0,4,2,26,12,4,42,2,4,0,2,17,cold
0,4,2,24,11,3,39,2,3,0,2,16,hot
0,4,2,22,10,2,36,2,2,0,2,15,hot
0,3,1,19,10,3,29,1,1,0,1,11,hot
0,2,2,20,11,2,30,1,1,0,0,10,hot
0,2,0,6,2,0,8,0,0,0,1,2,hot
0,4,0,15,4,4,27,3,4,0,0,9,hot
0,6,0,26,7,8,47,5,7,0,0,16,cold
1,3,1,20,5,6,32,3,5,0,0,11,hot
0,5,0,22,5,7,39,4,6,0,0,13,hot
1,2,1,16,3,5,24,2,4,0,0,8,hot
1,1,1,9,2,2,12,1,2,0,0,4,hot
1,1,1,6,2,1,7,1,1,0,0,2,hot
0,1,0,5,1,2,5,1,2,0,0,1,hot
0,4,1,29,11,8,45,2,6,0,1,16,cold
0,3,0,21,5,8,31,2,6,0,0,10,hot
0,6,2,38,17,8,64,2,7,0,2,24,cold
0,5,1,30,11,8,50,2,7,0,1,18,cold
0,4,1,29,11,8,47,2,7,0,1,17,cold
0,3,0,21,5,8,33,2,7,0,0,11,hot
0,2,1,19,9,4,29,1,4,0,1,11,hot
0,1,0,11,3,4,15,1,4,0,0,5,hot
0,1,0,3,0,1,2,1,1,0,0,0,hot
0,5,2,21,13,0,38,0,0,0,3,16,hot
0,2,2,12,7,0,20,0,0,0,1,8,hot
0,1,1,16,4,3,29,2,2,0,0,11,hot
0,1,1,10,2,1,15,1,1,0,0,7,hot
0,1,1,8,4,0,12,0,0,0,0,4,hot
0,4,0,6,0,1,6,0,1,0,0,0,hot
0,4,1,13,1,3,23,1,3,0,0,4,hot
0,4,0,11,1,3,18,1,3,0,0,2,hot
0,4,1,10,1,2,16,1,2,0,0,2,hot
0,4,0,6,1,0,4,0,0,3,4,5,hot
0,0,0,1,0,0,0,0,0,0,0,0,hot
0,1,1,9,4,1,11,0,0,0,0,4,hot
0,1,0,7,3,0,11,0,0,0,0,4,hot
0,3,0,5,1,0,6,0,0,0,0,0,hot
0,1,0,3,1,0,2,0,0,0,0,0,hot
0,1,0,4,2,0,4,0,0,0,0,1,hot
0,1,1,8,5,0,11,0,0,1,1,6,hot
0,31,2,49,7,4,73,1,3,15,26,35,cold
0,31,2,48,7,3,73,1,3,15,26,35,cold
0,30,2,48,7,4,72,1,3,14,25,34,cold
0,30,2,47,7,3,72,1,3,14,25,34,cold
0,30,2,48,7,4,72,1,3,14,25,34,cold
0,30,2,47,7,3,72,1,3,14,25,34,cold
0,29,2,47,7,4,71,1,3,13,24,33,cold
0,29,2,46,7,3,71,1,3,13,24,33,cold
0,14,0,45,10,7,81,2,5,2,13,33,cold
0,15,0,56,11,11,103,2,9,2,14,40,cold
0,22,0,71,13,14,131,2,11,4,21,49,cold
0,21,0,69,12,15,125,3,13,3,20,47,cold
0,21,0,68,11,15,124,3,13,3,20,47,cold
0,20,0,66,11,14,121,2,12,3,19,46,cold
0,16,0,64,12,14,120,2,12,2,15,45,cold
0,23,0,79,14,17,148,2,14,4,22,54,cold
0,22,0,77,13,18,142,3,16,3,21,52,cold
0,22,0,76,12,18,141,3,16,3,21,52,cold
0,21,0,74,12,17,138,2,15,3,20,51,cold
0,16,0,63,12,14,117,2,12,2,15,44,cold
0,23,0,78,14,17,145,2,14,4,22,53,cold
0,22,0,76,13,18,139,3,16,3,21,51,cold
0,22,0,75,12,18,138,3,16,3,21,51,cold
0,21,0,73,12,17,135,2,15,3,20,50,cold
0,15,0,55,11,11,100,2,9,2,14,39,cold
0,22,0,70,13,14,128,2,11,4,21,48,cold
0,21,0,68,12,15,122,3,13,3,20,46,cold
0,21,0,67,11,15,121,3,13,3,20,46,cold
0,20,0,65,11,14,118,2,12,3,19,45,cold
0,16,0,63,12,14,117,2,12,2,15,44,cold
0,23,0,78,14,17,145,2,14,4,22,53,cold
0,22,0,76,13,18,139,3,16,3,21,51,cold
0,22,0,75,12,18,138,3,16,3,21,51,cold
0,21,0,73,12,17,135,2,15,3,20,50,cold
0,16,0,62,12,14,114,2,12,2,15,43,cold
0,23,0,77,14,17,142,2,14,4,22,52,cold
0,22,0,75,13,18,136,3,16,3,21,50,cold
0,22,0,74,12,18,135,3,16,3,21,50,cold
0,21,0,72,12,17,132,2,15,3,20,49,cold
0,15,0,55,11,11,102,2,9,2,14,39,cold
0,22,0,70,13,14,130,2,11,4,21,48,cold
0,21,0,68,12,15,124,3,13,3,20,46,cold
0,21,0,67,11,15,123,3,13,3,20,46,cold
0,20,0,65,11,14,120,2,12,3,19,45,cold
0,16,0,63,12,14,119,2,12,2,15,44,cold
0,23,0,78,14,17,147,2,14,4,22,53,cold
0,22,0,76,13,18,141,3,16,3,21,51,cold
0,22,0,75,12,18,140,3,16,3,21,51,cold
0,21,0,73,12,17,137,2,15,3,20,50,cold
0,16,0,62,12,14,116,2,12,2,15,43,cold
0,23,0,77,14,17,144,2,14,4,22,52,cold
0,22,0,75,13,18,138,3,16,3,21,50,cold
0,22,0,74,12,18,137,3,16,3,21,50,cold
0,21,0,72,12,17,134,2,15,3,20,49,cold
0,15,0,54,11,11,99,2,9,2,14,38,cold
0,22,0,69,13,14,127,2,11,4,21,47,cold
0,21,0,67,12,15,121,3,13,3,20,45,cold
0,21,0,66,11,15,120,3,13,3,20,45,cold
0,20,0,64,11,14,117,2,12,3,19,44,cold
0,16,0,62,12,14,116,2,12,2,15,43,cold
0,23,0,77,14,17,144,2,14,4,22,52,cold
0,22,0,75,13,18,138,3,16,3,21,50,cold
0,22,0,74,12,18,137,3,16,3,21,50,cold
0,21,0,72,12,17,134,2,15,3,20,49,cold
0,16,0,61,12,14,113,2,12,2,15,42,cold
0,23,0,76,14,17,141,2,14,4,22,51,cold
0,22,0,74,13,18,135,3,16,3,21,49,cold
0,22,0,73,12,18,134,3,16,3,21,49,cold
0,21,0,71,12,17,131,2,15,3,20,48,cold
0,21,0,60,12,10,109,2,7,4,20,42,cold
0,20,0,58,11,11,103,3,9,3,19,40,cold
0,20,0,57,10,11,102,3,9,3,19,40,cold
0,19,0,55,10,10,99,2,8,3,18,39,cold
0,8,0,27,7,4,42,1,3,1,7,18,hot
0,14,0,41,10,5,76,2,4,2,13,31,cold
0,15,0,52,11,9,98,2,8,2,14,38,cold
0,22,0,67,13,12,126,2,10,4,21,47,cold
0,21,0,65,12,13,120,3,12,3,20,45,cold
0,21,0,64,11,13,119,3,12,3,20,45,cold
0,20,0,62,11,12,116,2,11,3,19,44,cold
0,16,0,60,12,12,115,2,11,2,15,43,cold
0,23,0,75,14,15,143,2,13,4,22,52,cold
0,22,0,73,13,16,137,3,15,3,21,50,cold
0,22,0,72,12,16,136,3,15,3,21,50,cold
0,21,0,70,12,15,133,2,14,3,20,49,cold
0,16,0,59,12,12,112,2,11,2,15,42,cold
0,23,0,74,14,15,140,2,13,4,22,51,cold
0,22,0,72,13,16,134,3,15,3,21,49,cold
0,22,0,71,12,16,133,3,15,3,21,49,cold
0,21,0,69,12,15,130,2,14,3,20,48,cold
0,15,0,51,11,9,95,2,8,2,14,37,cold
0,22,0,66,13,12,123,2,10,4,21,46,cold
0,21,0,64,12,13,117,3,12,3,20,44,cold
0,21,0,63,11,13,116,3,12,3,20,44,cold
0,20,0,61,11,12,113,2,11,3,19,43,cold
0,16,0,59,12,12,112,2,11,2,15,42,cold
0,23,0,74,14,15,140,2,13,4,22,51,cold
0,22,0,72,13,16,134,3,15,3,21,49,cold
0,22,0,71,12,16,133,3,15,3,21,49,cold
0,21,0,69,12,15,130,2,14,3,20,48,cold
0,16,0,58,12,12,109,2,11,2,15,41,cold
0,23,0,73,14,15,137,2,13,4,22,50,cold
0,22,0,71,13,16,131,3,15,3,21,48,cold
0,22,0,70,12,16,130,3,15,3,21,48,cold
0,21,0,68,12,15,127,2,14,3,20,47,cold
0,15,0,51,11,9,97,2,8,2,14,37,cold
0,22,0,66,13,12,125,2,10,4,21,46,cold
0,21,0,64,12,13,119,3,12,3,20,44,cold
0,21,0,63,11,13,118,3,12,3,20,44,cold
0,20,0,61,11,12,115,2,11,3,19,43,cold
0,16,0,59,12,12,114,2,11,2,15,42,cold
0,23,0,74,14,15,142,2,13,4,22,51,cold
0,22,0,72,13,16,136,3,15,3,21,49,cold
0,22,0,71,12,16,135,3,15,3,21,49,cold
0,21,0,69,12,15,132,2,14,3,20,48,cold
0,16,0,58,12,12,111,2,11,2,15,41,cold
0,23,0,73,14,15,139,2,13,4,22,50,cold
0,22,0,71,13,16,133,3,15,3,21,48,cold
0,22,0,70,12,16,132,3,15,3,21,48,cold
0,21,0,68,12,15,129,2,14,3,20,47,cold
0,15,0,50,11,9,94,2,8,2,14,36,cold
0,22,0,65,13,12,122,2,10,4,21,45,cold
0,21,0,63,12,13,116,3,12,3,20,43,cold
0,21,0,62,11,13,115,3,12,3,20,43,cold
0,20,0,60,11,12,112,2,11,3,19,42,cold
0,16,0,58,12,12,111,2,11,2,15,41,cold
0,23,0,73,14,15,139,2,13,4,22,50,cold
0,22,0,71,13,16,133,3,15,3,21,48,cold
0,22,0,70,12,16,132,3,15,3,21,48,cold
